id,operator_name,mine_address,main_controller
3503598,Newberg Rock & Dirt,"6860 Anderson Rd., Aurora, OR, 97002",S-2 Contractors Inc
0502030,Allied Dirt Moving Company,"2360 West 2nd Ave, DENVER, CO, 80010",Allied Dirt Moving Company
4801789,AM Dirtworks & Aggregate Sales,"120 Dally Ln, Buffalo, WY, 82834",Matt  Mitchell
4201449,Atlas-Dirty Devil Mining,"GREEN RIVER, UT, 84525",Atlas Resources Inc & Dirty Devil Mining Co
4201450,Atlas-Dirty Devil Mining,"GREEN RIVER, UT, 84525",Atlas Resources Inc & Dirty Devil Mining Co
1002257,Babe's Dirt Work,"1773 Cedar View Rd, Soda Springs, ID, 83276",Steven  Meyers
1601167,Bar-Lin Dirt Company,"8002 Dogwood Trail, HAUGHTON, LA, 71037",Barlow James & John Lindsey
4103265,Barber'S Dirt Pit,"1590 Terry, VIDOR, TX, 77662",Barber Donald
1401575,Bender Sand & Dirt,"Rr 1 Box 32, RUSSELL, KS, 67665",Bender Marvin
1700776,BERT'S DIRT,"115 Georges Pond Road, Franklin, ME, 04634",Greg P  Carter
1601251,Big D Dirt Service Inc,"WASHINGTON, LA, 70589",Leger Dallas
0301963,Big Red Dirt Farm LLC,"2422 Revere, Fayetteville, AR, 72701",Frank Bradley  Johnson; William  Sweetser
1601082,Big River Dirt Pit,"GREENWELL SPRINGS, LA, 70739",Moore Joseph
3401751,Bob Harris Dirt Contracting,"16320 S Peoria, BIXBY, OK, 74008",Harris Robert E
1600916,Bohannon Sand & Dirt,"5610 Donahue Ferry Rd, PINEVILLE, LA, 71360",Bohannon O L
3401211,Bratcher'S Sand & Dirt,"Rte 4 Box 464, TECUMSEH, OK, 74873",Bratcher Russell E
0301267,Brewer Dirt Works,"820 Charlyane, BRINKLEY, AR, 72021",Brewer Dirt Works
1600956,Buck'S Dirt Pit,"Rte 1 Box 97, DENHAM SPRING, LA, 70726",Oneal C J Jr
2200033,C & G Dirt Hauling,"Rte 2 Box 211, HEIDELBERG, MS, 39439",Cook Jimmy R
0504953,"C N C Dirt Movers, Inc.","229 S. Jensen St., Dove Creek, CO, 81324",Floyd L  Cook
3401929,Cambridge Dirt Sand and Gravel LLC,"27950 S 4170 Rd, Inola, OK, 74036",Paul F  Bemies
1302445,Central Iowa Dirt & Demo LLC,"2066 290th St, Kamrar, IA, 50132",Josh  Amonson; Brad  Schmidt
1601106,Crowes Trucking & Dirt Pit Services,"Rte 4 Box 94d, FOLSOM, LA, 70437",Crowes Tildon
3400915,D & H Dirt,"Rte 1, PORTER, OK, 74454",Dugan Ed
1600983,Diez Dirt & Sand Hauling Inc,"Rte 3 Box 36, PRAIRIEVILLE, LA, 70769",Williams H W
4503200,Dirt Cheap,"GIG HARBOR, WA, 98335",Lamphere Dennis
3401266,Dirt Company,"1789 East 71st St, TULSA, OK, 74136",Snapp Duayne
3401468,Dirt Company,"OKE, OK, 73148",Walls Leon
5001797,Dirt Company,"Mile 52 Parks Hwy, Big Lake, AK, 99652",Robert B  Fisher
4608254,Dirt Con,"897 Lodgeville Rd, Bridgeport, WV, 26330",Arthur J  Rockwell
1510279,Dirt Diggers Inc,"Rte 2 Box 72, WHITE PLAINS, KY, 42464",Whitaker Jim
2103723,Dirt Doctor Inc,"1272 County Road 8, Hillman, MN, 56338",William A  Snidarich
0100776,Dirt Inc,"WILMER, AL, 36587",Harrison Lamar A
4104016,Dirt Pit,"LUMBERTON, TX, 77657",Joe  Boldin
4104757,Dirt Works,"711 Ranch Rd 32, Blanco, TX, 78606",Wayne B  Dworaczyk
0301729,Dirtco Inc,"1650 Ashley 10, CROSSETT, AR, 71635",Mills Melinda
0404851,Dirtman Trucking,"TEMPLETON, CA, 93465",Hendrix Brent
2200734,"DIRTWORKS, INC.","15047 Big John Rd, BILOXI, MS, 39532",Murray  Moran
5002028,"Dirtworks, Inc.","3255 S Old Glenn Hwy., Palmer, AK, 99645",Dianne  Johnson; Owen S Johnson
1513393,Dirty Coal,"SILEY, KY, 40769",Mc Kee Mike
3800602,Dorchester Dirt Company Inc,"1949 Gardner Blvd, HOLLY HILL, SC, 29059",Herman  Muckenfuss
3101630,Douglas Dirt Sand & Gravel Company,"315 Lukin St, MARION, NC, 28752",Mc Cormick Douglas
3200860,Ell Dirt Works LLC.,"4751 Highway 1804, Williston, ND, 58801",John W  Ell
3401762,Floyd Smith Dirt Pit,"114 N 209th West Ave, SAND SPRINGS, OK, 74063",Smith Floyd
2103517,Gary Kelm Dirt Service,"5543 Grange Road, Bemidji, MN, 55601",Gary L  Kelm; Trudy K  Kelm
2402626,Gerald Fenger/Rock & Dirt Const,"459 2900 Road South, Galata, MT, 59444",Gerald W  Fenger
2103181,Gerald Illies Gravel & Dirt Company,"Rte 1 Box 501, BAGLEY, MN, 56621",Gerald  Illies
1601124,Guidry Sand & Dirt Pit Inc,"1607 Ridge Rd, DUSON, LA, 70529",Guidry Nolan
1601150,Harris Dirt Company Inc,"155 Bagley Rd, SHREVEPORT, LA, 71115",Harris Herbert B
4703427,Hatchet Creek Rock & Dirt LLC,"10319 Prairie Rapids Rd., Tomahawk, WI, 54487",Duane D  Belling Sr
0801306,"Holley Dirt Company, Inc","3224 River Rd, Navarre, FL, 32566",Gordon  Goodin
2501216,Iske Dirt Sand & Gravel,"24617 W Center Rd, Waterloo, NE, 68069",David A  Iske
3200965,J M Lynn Dirtwork,"485 Helene St, Palermo, ND, 58769",John  Lynn
2901371,Jake Diel Dirt & Paving Inc,"E Hwy 60, HEREFORD, TX, 79045",Lawson Warner
2901544,Jake Diel Dirt & Paving Inc,"E Hwy 60, HEREFORD, TX, 79045",Lawson Warner
2901709,Jake Diel Dirt & Paving Inc,"E Hwy 60, HEREFORD, TX, 79045",Lawson Warner
4102355,Jake Diel Dirt & Paving Inc,"E Hwy 60, HEREFORD, TX, 79045",Lawson Warner
4102420,Jake Diel Dirt & Paving Inc,"E Hwy 60, HEREFORD, TX, 79045",Lawson Warner
4102869,Jake Diel Dirt & Paving Inc,"E Hwy 60, HEREFORD, TX, 79045",Lawson Warner
4102951,Jake Diel Dirt & Paving Inc,"E Hwy 60, HEREFORD, TX, 79045",Lawson Warner
4102958,Jake Diel Dirt & Paving Inc,"E Hwy 60, HEREFORD, TX, 79045",Lawson Warner
4104876,"Jarratt Dirt Work and Paving, Inc.","470 E. Douglas Dr./ P.O. Box 1147, Fort Davis, TX, 79734",Lance  Jarratt; Keith  Jarratt
3003502,"JBS DIRT, INC.","7901 GEE RD, CANASTOTA, NY, 13032",James J  Baker; Kim F  Baker
4103258,Jones Bros Dirt & Paving Contractors Inc,"ODESSA, TX, 79760",Ronnie  Jones; Terry  Bryant
3901432,Krueger Brothers Gravel & Dirt,"13726 410th Ave, GROTON, SD, 57445",Roger  Krueger; David  Krueger
2103556,"Krueger Dirt Werx, Inc.","2962 County Rd. 61, Barnum, MN, 55707",Clint R  Krueger
1601250,L I P Dirt & Trucking,"6250 Twin Bridge Rd, ALEXANDRIA, LA, 71303",Perkins Linda I
1600908,Lee'S Dirt Pit Inc,"BAKER, LA, 70714",Richardson Sheila
1600953,Little-G-Dirt Pit,"4456 Arnold Lane, BATON ROUGE, LA, 70809",Little-G-Dirt Pit
4104185,Lone Star Dirt & Paving,"11820 University Avenue, Lubbock, TX, 79423",Wesley  Sanders; Steve  Turner
2901536,Loyd'S Dirt & Gravel,"366 State Highway 217, TIJERAS, NM, 87059",Evertt  Loyd
3609624,M R Dirt,"21186 Rt187, Towanda, PA, 18848",Scott R  Middendorf; Christopher L  Roof
3800709,M.C. Dirt LLC,"106 Egret Lane, Summerville, SC, 29405",Mark M  Mitcham; Elaine C  Murray
