case_number,citation_number,mine_id,paid_to_date,proposed_penalty,standard_violated
,8912694,0801306,Not Assessed Yet/Non-Assessable,Not Assessed Yet/Non-Assessable,56.14132(a)
000427623,8638781,0801306,351.00,351.00,56.12028
000411633,8903432,0801306,100.00,100.00,47.41(a)
000411633,8903434,0801306,117.00,117.00,46.11(d)
000411633,8903435,0801306,117.00,117.00,56.9300(a)
000411633,8903433,0801306,100.00,100.00,56.14100(b)
000411633,8903436,0801306,100.00,100.00,56.12004
000397972,8822977,0801306,100.00,100.00,56.9300(b)
000397972,8822976,0801306,100.00,100.00,56.14101(a)(2)
000397972,8822974,0801306,100.00,100.00,56.14100(b)
000397972,8822973,0801306,100.00,100.00,56.9300(a)
000397972,8822975,0801306,100.00,100.00,56.14100(c)
000382609,8818269,0801306,100.00,100.00,56.14211(b)
000382609,8818270,0801306,100.00,100.00,56.12040
000375494,8818247,0801306,100.00,100.00,56.12004
000360091,8835756,0801306,100.00,100.00,50.30(a)
000360091,8835757,0801306,100.00,100.00,56.14100(b)
000346593,8732850,0801306,100.00,100.00,56.14100(a)
000334543,8729317,0801306,100.00,100.00,56.18002(b)
000334543,8729316,0801306,117.00,117.00,56.9300(a)
000315004,8723395,0801306,100.00,100.00,56.14107(a)
000315004,8723396,0801306,100.00,100.00,56.11003
000296474,8638087,0801306,100.00,100.00,56.9100(a)
000293592,8638086,0801306,100.00,100.00,56.14132(a)
000293592,8638085,0801306,807.00,807.00,56.14100(b)
000273703,8637959,0801306,100.00,100.00,46.9(a)
000256650,8630131,0801306,100.00,100.00,56.12032
000230512,8547870,0801306,100.00,100.00,56.12028
000230512,8547867,0801306,100.00,100.00,56.18010
000230512,8547868,0801306,100.00,100.00,46.9(a)
000230512,8547863,0801306,100.00,100.00,56.14107(a)
000230512,8547865,0801306,100.00,100.00,56.4402
000230512,8547862,0801306,100.00,100.00,56.15020
000230512,8547866,0801306,243.00,243.00,56.9300(a)
000218132,8544318,0801306,100.00,100.00,56.14132(a)
000218132,8544317,0801306,100.00,100.00,56.12004
000158499,7751780,0801306,"2,000.00","2,000.00",56.3131
000158499,7751779,0801306,100.00,100.00,56.14103(a)
000141737,7780184,0801306,100.00,100.00,56.12008
000141737,7780185,0801306,100.00,100.00,56.14112(b)
000141737,7780186,0801306,100.00,100.00,56.14112(b)
000141737,7780187,0801306,100.00,100.00,56.12018
000109664,7765211,0801306,350.00,350.00,56.12006
000089619,6110215,0801306,60.00,60.00,56.4101
000089619,6110217,0801306,60.00,60.00,56.12004
000089619,6110211,0801306,60.00,60.00,56.12025
000089619,6110216,0801306,60.00,60.00,47.41(a)
000089619,6110212,0801306,60.00,60.00,56.16006
000089619,6110214,0801306,614.00,614.00,56.12013(b)
000089619,6110213,0801306,60.00,60.00,56.14100(b)
000063118,6088757,0801306,60.00,60.00,50.30
000058196,6094159,0801306,60.00,60.00,56.20003(a)
000058196,6094158,0801306,60.00,60.00,56.14132(a)
000058196,6094157,0801306,60.00,60.00,56.4102
000058196,6094156,0801306,60.00,60.00,56.4200(a)(1)
000041636,6093408,0801306,60.00,60.00,56.14132(a)
000041636,6093407,0801306,268.00,268.00,56.12016
000041636,6093409,0801306,60.00,60.00,46.9(c)(2)(i)
080130605503,6092151,0801306,133.00,133.00,56.4402
080130605503,6092154,0801306,60.00,60.00,56.20003(a)
080130605503,6092153,0801306,106.00,106.00,56.14103(c)(1)
080130605503,6092152,0801306,60.00,60.00,56.9300(a)
080130605502,7763976,0801306,104.00,104.00,56.14100(b)
080130605502,7763977,0801306,104.00,104.00,56.14132(b)(1)(i)
080130605502,7763975,0801306,55.00,55.00,56.20003(a)
080130605502,7763979,0801306,55.00,55.00,56.16006
080130605502,7763978,0801306,55.00,55.00,56.4230(a)(1)
080130605501,7764984,0801306,55.00,55.00,62.130(a)
080130605501,7764905,0801306,55.00,55.00,56.1000
080130605501,7764903,0801306,55.00,55.00,56.18010
080130605501,7764901,0801306,55.00,55.00,56.14107(a)
080130605501,7764904,0801306,55.00,55.00,56.12028
080130605501,7764906,0801306,Not Assessed Yet/Non-Assessable,Not Assessed Yet/Non-Assessable,
080130605501,7764902,0801306,55.00,55.00,56.12004
080130605501,7764907,0801306,113.00,113.00,56.14130(g)
080130605501,7764908,0801306,113.00,113.00,56.12013
