case_number,citation_number,paid_to_date,proposed_penalty,standard_violated
000361866,8750964,100.00,100.00,56.18010
000260865,6426438,100.00,100.00,56.4101
000260865,6426439,100.00,100.00,56.4201(a)(2)
000260865,6588189,100.00,100.00,56.14200
000238554,6588210,100.00,100.00,50.30(a)
000188398,6328074,100.00,100.00,56.11003
390143205501,7916120,55.00,55.00,56.15001
390143205501,7916115,55.00,55.00,41.20
390143205501,7916125,55.00,55.00,56.4200
390143205501,7916123,55.00,55.00,56.14132(a)
390143205501,7916121,55.00,55.00,56.18002
390143205501,7916118,55.00,55.00,56.12028
390143205501,7916116,55.00,55.00,50.30
390143205501,7916122,55.00,55.00,56.20008
390143205501,7916124,55.00,55.00,56.14132(a)
390143205502,7916119,55.00,55.00,56.18010
390143205501,7916117,55.00,55.00,56.1000
390143205501,7916126,55.00,55.00,56.14100(d)
