case_number,citation_number,mine_id,penalty_paid,proposed_penalty,standard_violated,standard_violated_url
000361866,8750964,3901432,100.00,100.00,56.18010,https://arlweb.msha.gov/PROGRAMS/ASSESS.HTM#Outreach
000260865,6426439,3901432,100.00,100.00,56.4201(a)(2),http://www.gpo.gov/fdsys/pkg/CFR-2014-title30-vol1/pdf/CFR-2014-title30-vol1-sec56-18010.pdf
000260865,6426438,3901432,100.00,100.00,56.4101,http://www.gpo.gov/fdsys/pkg/CFR-2011-title30-vol1/pdf/CFR-2011-title30-vol1-sec56-4201.pdf
000260865,6588189,3901432,100.00,100.00,56.14200,http://www.gpo.gov/fdsys/pkg/CFR-2011-title30-vol1/pdf/CFR-2011-title30-vol1-sec56-4101.pdf
000238554,6588210,3901432,100.00,100.00,50.30(a),http://www.gpo.gov/fdsys/pkg/CFR-2011-title30-vol1/pdf/CFR-2011-title30-vol1-sec56-14200.pdf
000188398,6328074,3901432,100.00,100.00,56.11003,http://www.gpo.gov/fdsys/pkg/CFR-2010-title30-vol1/pdf/CFR-2010-title30-vol1-sec50-30.pdf
390143205501,7916117,3901432,55.00,55.00,56.1000,http://www.gpo.gov/fdsys/pkg/CFR-2009-title30-vol1/pdf/CFR-2009-title30-vol1-sec56-11003.pdf
390143205501,7916122,3901432,55.00,55.00,56.20008,http://www.gpo.gov/fdsys/pkg/CFR-1998-title30-vol1/pdf/CFR-1998-title30-vol1-sec56-1000.pdf
390143205501,7916125,3901432,55.00,55.00,56.4200,http://www.gpo.gov/fdsys/pkg/CFR-1998-title30-vol1/pdf/CFR-1998-title30-vol1-sec56-20008.pdf
390143205501,7916118,3901432,55.00,55.00,56.12028,http://www.gpo.gov/fdsys/pkg/CFR-1998-title30-vol1/pdf/CFR-1998-title30-vol1-sec56-4200.pdf
390143205501,7916116,3901432,55.00,55.00,50.30,http://www.gpo.gov/fdsys/pkg/CFR-1998-title30-vol1/pdf/CFR-1998-title30-vol1-sec56-12028.pdf
390143205501,7916123,3901432,55.00,55.00,56.14132(a),http://www.gpo.gov/fdsys/pkg/CFR-1998-title30-vol1/pdf/CFR-1998-title30-vol1-sec50-30.pdf
390143205501,7916121,3901432,55.00,55.00,56.18002,http://www.gpo.gov/fdsys/pkg/CFR-1998-title30-vol1/pdf/CFR-1998-title30-vol1-sec56-14132.pdf
390143205501,7916126,3901432,55.00,55.00,56.14100(d),http://www.gpo.gov/fdsys/pkg/CFR-1998-title30-vol1/pdf/CFR-1998-title30-vol1-sec56-18002.pdf
390143205502,7916119,3901432,55.00,55.00,56.18010,http://www.gpo.gov/fdsys/pkg/CFR-1998-title30-vol1/pdf/CFR-1998-title30-vol1-sec56-14100.pdf
390143205501,7916115,3901432,55.00,55.00,41.20,http://www.gpo.gov/fdsys/pkg/CFR-1998-title30-vol1/pdf/CFR-1998-title30-vol1-sec56-18010.pdf
390143205501,7916124,3901432,55.00,55.00,56.14132(a),http://www.gpo.gov/fdsys/pkg/CFR-1998-title30-vol1/pdf/CFR-1998-title30-vol1-sec41-20.pdf
390143205501,7916120,3901432,55.00,55.00,56.15001,http://www.gpo.gov/fdsys/pkg/CFR-1998-title30-vol1/pdf/CFR-1998-title30-vol1-sec56-14132.pdf
